Title	Abstract	Authors	Publication Date	DOI
Early Safety Indicators of COVID-19 ConvalescentPlasma in 5,000 Patients	BackgroundConvalescent plasma is the only antibody based therapy currently available for COVID-19 patients. It has robust historical precedence and sound biological plausibility. Although promising, convalescent plasma has not yet been shown to be safe as a treatment for COVID-19. MethodsThus, we analyzed key safety metrics after transfusion of ABO-compatible human COVID-19 convalescent plasma in 5,000 hospitalized adults with severe or life-threatening COVID-19, with 66% in the intensive care unit, as part of the US FDA Expanded Access Program for COVID-19 convalescent plasma. ResultsThe incidence of all serious adverse events (SAEs) in the first four hours after transfusion was <1%, including mortality rate (0.3%). Of the 36 reported SAEs, there were 25 reported incidences of related SAEs, including mortality (n=4), transfusion-associated circulatory overload (TACO; n=7), transfusion-related acute lung injury (TRALI; n=11), and severe allergic transfusion reactions (n=3). However, only 2 (of 36) SAEs were judged as definitely related to the convalescent plasma transfusion by the treating physician. The seven-day mortality rate was 14.9%. ConclusionGiven the deadly nature of COVID-19 and the large population of critically-ill patients included in these analyses, the mortality rate does not appear excessive. These early indicators suggest that transfusion of convalescent plasma is safe in hospitalized patients with COVID-19. Brief SummaryAfter transfusion of COVID-19 convalescent plasma in 5,000 patients, the incidence of serious adverse events was <1% and the seven-day incidence of mortality was 14.9%.	Joyner, M.; Wright, R. S.; Fairweather, D.; Senefeld, J.; Bruno, K.; Klassen, S.; Carter, R.; Klompas, A.; Wiggins, C.; Shepherd, J. R.; Rea, R.; Whelan, E.; Clayburn, A.; Spiegel, M.; Johnson, P.; Lesser, E.; Baker, S.; Larson, K.; Ripoll Sanz, J.; Andersen, K.; Hodge, D.; Kunze, K.; Buras, M.; Vogt, M.; Herasevich, V.; Dennis, J.; Regimbal, R.; Bauer, P.; Blair, J.; van Buskirk, C.; Winters, J.; Stubbs, J.; Paneth, N.; Casadevall, A.	2020-05-14	10.1101/2020.05.12.20099879
The feasibility of convalescent plasma therapy in severe COVID-19 patients: a pilot study	Currently, there are no approved specific antiviral agents for 2019 novel coronavirus disease (COVID-19). In this study, ten severe patients confirmed by real-time viral RNA test were enrolled prospectively. One dose of 200 mL convalescent plasma (CP) derived from recently recovered donors with the neutralizing antibody titers above 1:640 was transfused to the patients as an addition to maximal supportive care and antiviral agents. The primary endpoint was the safety of CP transfusion. The second endpoints were the improvement of clinical symptoms and laboratory parameters within 3 days after CP transfusion. The median time from onset of illness to CP transfusion was 16.5 days. After CP transfusion, the level of neutralizing antibody increased rapidly up to 1:640 in five cases, while that of the other four cases maintained at a high level (1:640). The clinical symptoms were significantly improved along with increase of oxyhemoglobin saturation within 3 days. Several parameters tended to improve as compared to pre-transfusion, including increased lymphocyte counts (0.65x109/L vs. 0.76x109/L) and decreased C-reactive protein (55.98 mg/L vs. 18.13 mg/L). Radiological examinations showed varying degrees of absorption of lung lesionswithin 7 days. The viral load was undetectable after transfusion in seven patients who had previous viremia. No severe adverse effects were observed. This study showed CP therapy was welltolerated and could potentially improve the clinical outcomes through neutralizing viremia in severe COVID-19 cases. The optimal dose and time point, as well as the clinical benefit of CP therapy, needs further investigation in larger well-controlled trials. Significance StatementCOVID-19 is currently a big threat to global health. However, no specific antiviral agents are available for its treatment. In this work, we explored the feasibility of convalescent plasma (CP) transfusion to rescue severe patients. The results from 10 severe adult cases showed that one dose (200 mL) of CP was welltolerated and could significantly increase or maintain the neutralizing antibodies at a high level, leading to disappearance of viremia in 7 days. Meanwhile, clinical symptoms and paraclinical criteria rapidly improved within 3 days. Radiological examination showed varying degrees of absorption of lung lesions within 7 days. These results indicate that CP can serve as a promising rescue option for severe COVID-19 while the randomized trial is warranted.	Duan, K.; Liu, B.; Li, C.; Zhang, H.; Yu, T.; Qu, J.; Zhou, M.; Chen, L.; Meng, S.; Hu, Y.; Peng, C.; Yuan, M.; Huang, J.; Wang, Z.; Yu, J.; Gao, X.; Wang, D.; Yu, X.; Li, L.; Zhang, J.; Wu, X.; Li, B.; Yu, Y.; Chen, W.; Peng, Y.; Hu, Y.; Lin, L.; Liu, X.; Huang, S.; Zhou, Z.; Zhang, L.; Wang, Y.; Zhang, Z.; Deng, K.; Xia, Z.; Gong, Q.; Zhang, W.; Zheng, X.; Liu, Y.; Yang, H.; Zhou, D.; Yu, D.; Hou, J.; Shi, Z.; Chen, S.; Chen, Z.; Zhang, X.-x.; Yang, X.	2020-03-23	10.1101/2020.03.16.20036145
Clinical findings in critical ill patients infected with SARS-Cov-2 in Guangdong Province, China: a multi-center, retrospective, observational study	BackgroundIn December 2019, human infection with a novel coronavirus, known as SARS-CoV-2, was identified in Wuhan, China. The mortality of critical illness was high in Wuhan. Information about critically ill patients with SARS-CoV-2 infection outside of Wuhan is scarce. We aimed to provide the clinical features, treatment, and prognosis of the critically ill patients with SARS-CoV-2 infection in Guangdong Province. MethodsIn this multi-centered, retrospective, observational study, we enrolled critically ill patients with SARS-CoV-2 pneumonia who were admitted to the intensive care unit (ICU) in Guangdong Province. Demographic data, symptoms, laboratory findings, comorbidities, treatments, and prognosis were collected. Data were compared between patients with and without intubation. ResultsForty-five critically ill patients with SARS-CoV-2 pneumonia were identified in 7 ICUs in Guangdong Province. The mean age was 56.7 years, and 29 patients (64.4%) were men. The most common symptoms at the onset of illness were high fever and cough. Majority of patients presented with lymphopenia and elevated lactate dehydrogenase. Treatment with antiviral drugs was initiated in all the patients. Thirty-seven patients (82.2%) had developed acute respiratory distress syndrome, and 13 (28.9%) septic shock. A total of 20 (44.4%) patients required intubation and 9 (20%) required extracorporeal membrane oxygenation. As of February 28th 2020, only one patient (2.2%) had died and half of them had discharged of ICU. ConclusionsInfection with SARS-CoV-2 in critical illness is characterized by fever, lymphopenia, acute respiratory failure and multiple organ dysfunction. Compared with critically ill patients infected with SARS-CoV-2 in Wuhan, the mortality of critically ill patients in Guangdong Province was relatively low. These data provide some general understandings and experience for the critical patients with SARS-CoV-2 outside of Wuhan.	Xu, Y.; Xu, Z.; Liu, X.; Cai, L.; Zheng, H.; Huang, Y.; Zhou, L.; Huang, L.; Lin, Y.; Deng, L.; Li, J.; Chen, S.; Liu, D.; Lin, Z.; Zhou, L.; He, W.; Liu, X.; Li, Y.	2020-03-06	10.1101/2020.03.03.20030668
COVID-19 in people living with human immunodeficiency virus: A case series of 33 patients	Data on people living with human immunodeficiency virus (PLWH) in the current SARS-CoV-2 pandemic is still scarce. This case series of 33 PLWH patients with COVID-19 reveals symptoms and outcome in this special population. Three out of 32 patients with documented outcome died (9%). However, 91% of the patients recovered and 76% have been classified as mild cases, indicating that there is no excess morbidity and mortality among PLWH with symptomatic COVID-19. All patients were on antiretroviral treatment, of them 22 on tenofovir-containing regimen, and 4 on the protease inhibitor darunavir.	Haerter, G.; Spinner, C. D.; Roider, J.; Bickel, M.; Krznaric, I.; Grunwald, S.; Schabaz, F.; Gillor, D.; Postel, N.; Mueller, M. C.; Mueller, M.; Roemer, K.; Schewe, K.; Hoffmann, C.	2020-05-01	10.1101/2020.04.28.20073767
First Clinical Study Using HCV Protease Inhibitor Danoprevir to Treat Naive and Experienced COVID-19 Patients	As coronavirus disease 2019 (COVID-19) outbreak, caused by the severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2), started in China in January, 2020, repurposing approved drugs is emerging as important therapeutic options. We reported here the first clinical study using hepatitis C virus (HCV) protease inhibitor, danoprevir, to treat COVID-19 patients. Danoprevir (Ganovo(R)) is a potent HCV protease (NS3/4A) inhibitor (IC50 = 0.29 nM), which was approved and marketed in China since 2018 to treat chronic hepatitis C patients. Ritonavir is a CYP3A4 inhibitor to enhance plasma concentration of danoprevir while it also acts as a human immunodeficiency virus (HIV) protease inhibitor at high doses. The chymotrypsin-like protease of SARS-CoV-2 shares structure similarity with HCV and HIV proteases. In the current clinical study (NCT04291729) conducted at the Nineth Hospital of Nanchang, we evaluated therapeutic effects of danoprevir, boosted by ritonavir, on treatment naive and experienced COVID-19 patients. The data from this small-sample clinical study showed that danoprevir boosted by ritonavir is safe and well tolerated in all patients. After 4 to 12-day treatment of danoprevir boosted by ritonavir, all eleven patients enrolled, two naive and nine experienced, were discharged from the hospital as they met all four conditions as follows: (1) normal body temperature for at least 3 days; (2) significantly improved respiratory symptoms; (3) lung imaging shows obvious absorption and recovery of acute exudative lesion; and (4) two consecutive RT-PCR negative tests of SARS-CoV-2 nucleotide acid (respiratory track sampling with interval at least one day). Our findings suggest that repurposing danoprevir for COVID-19 is a promising therapeutic option.	Chen, H.; Zhang, Z.; Wang, L.; Huang, Z.; Gong, F.; Li, X.; Chen, Y.; WU, J. J.	2020-03-24	10.1101/2020.03.22.20034041
Lopinavir-ritonavir alone or combined with arbidol in the treatment of 73 hospitalized patients with COVID-19: a pilot retrospective study	ObjectivesThis study aimed to evaluate the antiviral efficacy of lopinavir/ritonavir alone or combined with arbidol in the treatment of hospitalized patients with common coronavirus disease-19 (COVID-19). MethodsIn this retrospective observational study, COVID-19 hospitalized patients were identified and divided into two groups based on the antiviral agents used during their hospitalization. Group-LR patients were treated with single antiviral drug of lopinavir-ritonavir. Group-LR+Ar patients were treated with lopinavir-ritonavir combined with arbidol for antiviral therapy at least 3 days. Patients were assessed for different clinical outcomes. ResultsA total of 34 and 39 patients were identified for Group-LR and Group-LR+Ar, respectively. Treatment with lopinavir-ritonavir alone was not difference from lopinavir-ritonavir combined with arbidol in overall cure rate of COVID-19 hospitalized patients (92.3% and 97.1%, respectively). In a modified intention-to-treat analysis, lopinavir-ritonavir combined with abidol led to a median time of hospital stay that was shorter by 1.5 days than group-LR (12.5 days vs. 14 days). The percentages of COVID-19 RNA clearance was 92.3 in group-LR and 97.1 in group-LR+Ar. The mean time of virus turning negative was 11.5{+/-}9.0 days in group-LR+Ar that were longer than group-LR. Treatment of lopinavir-ritonavir combined with arbidol did not significantly accelerate main symptoms improvement and promote the image absorption of pulmonary inflammation. ConclusionNo benefit was observed in the anti-virus effect of lopinavir-ritonavir combined with arbidol compared with lopinavir-ritonavir alone in the hospitalized patients with COVID-19. More clinical observations in COVID-19 patients may help to confirm or exclude the effect of antiviral agents.	Lan, X.; Shao, C.; Zeng, X.; Wu, Z.; Xu, Y.	2020-04-29	10.1101/2020.04.25.20079079
An exploratory randomized, controlled study on the efficacy and safety of lopinavir/ritonavir or arbidol treating adult patients hospitalized with mild/moderate COVID-19 (ELACOI)	BackgroundAntiviral therapies against the novel coronavirus SARS-CoV-2, which has caused a global pandemic of respiratory illness called COVID-19, are still lacking. MethodsOur study (NCT04252885, named ELACOI), was an exploratory randomized (2:2:1) controlled trial assessing the efficacy and safety of lopinavir/ritonavir (LPV/r) or arbidol monotherapy for treating patients with mild/moderate COVID-19. FindingsThis study successfully enrolled 86 patients with mild/moderate COVID-19 with 34 randomly assigned to receive LPV/r, 35 to arbidol and 17 with no antiviral medication as control. Baseline characteristics of the three groups were comparable. The primary endpoints, the average time of positive-to-negative conversion of SARS-CoV-2 nucleic acid and conversion rates at days 7 and 14, were similar between groups (all P>0.05). There were no differences between groups in the secondary endpoints, the rates of antipyresis, cough alleviation, or improvement of chest CT at days 7 or 14 (all P>0.05). At day 7, eight (23.5%) patients in the LPV/r group, 3 (8.6%) in the arbidol group and 2(11.8%) in the control group showed a deterioration in clinical status from moderate to severe/critical(P =0.206). Overall, 12 (35.3%) patients in the LPV/r group and 5 (14.3%) in the arbidol group experienced adverse events during the follow-up period. No apparent adverse event occurred in the control group. ConclusionsLPV/r or arbidol monotherapy present little benefit for improving the clinical outcome of patients hospitalized with mild/moderate COVID-19 over supportive care. FundingThis study was supported by project 2018ZX10302103-002, 2017ZX10202102-003-004 and Infectious Disease Specialty of Guangzhou High-level Clinical Key Specialty (2019-2021).	Li, Y.; Xie, Z.; Lin, W.; Cai, W.; Wen, C.; Guan, Y.; Mo, X.; Wang, J.; Wang, Y.; Peng, P.; Chen, X.; Hong, W.; Xiao, G.; Liu, J.; Zhang, L.; Hu, F.; Li, F.; Li, F.; Zhang, F.; Deng, X.; Li, L.	2020-03-23	10.1101/2020.03.19.20038984
Medical treatment of 55 patients with COVID-19 from seven cities in northeast China who fully recovered: a single-center, retrospective, observational study	BackgroundCOVID-19 is an emerging disease caused by the SARS-CoV-2 virus; no specific medication has been identified to date. We aimed to investigate the administered medications and intervention times for patients who completely recovered from COVID-19. MethodsThis single-center, retrospective, and observational study included 55 patients with COVID-19 who were transferred to Shenyang Sixth Peoples Hospital between January 20 and March 15, 2020. Demographic information, symptoms, laboratory indicators, treatment processes, and clinical outcomes were collected. Administered drugs and intervention times were compared in 47 and eight patients with mild and severe symptoms, respectively. FindingsAll 55 patients recovered. Fifty-three patients (96{middle dot}36%) received antiviral therapy, including 45 in the mild group (median treatment: 14 days; 17 received umifenovir) and all eight severe-group patients (median treatment: 17{middle dot}5 days; four received lopinavir/ritonavir). Twenty-nine patients (52{middle dot}72%) were administered antibiotics, including 21 in the mild group (median treatment: 13{middle dot}5 days; 15 received moxifloxacin) and all eight in the severe group (median treatment: 9 days; two received linezolid). Moreover, seven patients (12{middle dot}72%) were treated with glucocorticoids and nine (16{middle dot}36%) with immunomodulators. InterpretationGiven the 100% recovery rate, early administration of antiviral drugs can be considered. Umifenovir may benefit patients with mild symptoms, while lopinavir/ritonavir may benefit those with severe symptoms. Prophylactic administration of common antibiotics may reduce the risk of co-infection. The use of glucocorticoids is usually not necessary. FundingThis work was supported by the Shenyang Major Science and Technology Innovation R&D Program (JY2020-9-018 to Y. Chen).	Fan, L.; Liu, C.; Li, N.; Liu, H.; Gu, Y.; Liu, Y.; Chen, Y.	2020-03-30	10.1101/2020.03.28.20045955
Convalescent plasma treatment of severe COVID-19: A matched control study	BackgroundSince December 2019, Coronavirus Disease 2019 (COVID-19) has become a global pandemic, causing mass morbidity and mortality. Prior studies in other respiratory infections suggest that convalescent plasma transfusion may offer benefit to some patients. Here, the outcomes of thirty-nine hospitalized patients with severe to life-threatening COVID-19 who received convalescent plasma transfusion were compared against a cohort of retrospectively matched controls. MethodsPlasma recipients were selected based on supplemental oxygen needs at the time of enrollment and the time elapsed since the onset of symptoms. Recipients were transfused with convalescent plasma from donors with a SARS-CoV-2 (severe acute respiratory disease coronavirus 2) anti-spike antibody titer of 31:320 dilution. Matched control patients were retrospectively identified within the electronic health record database. Supplemental oxygen requirements and survival were compared between plasma recipients and controls. ResultsConvalescent plasma recipients were more likely than control patients to remain the same or have improvements in their supplemental oxygen requirements by post-transfusion day 14, with an odds ratio of 0.86 (95% CI: 0.75[~]0.98; p = 0.028). Plasma recipients also demonstrated improved survival, compared to control patients (log-rank test: p = 0.039). In a covariates-adjusted Cox model, convalescent plasma transfusion improved survival for non-intubated patients (hazard ratio 0.19 (95% CI: 0.05 [~]0.72); p = 0.015), but not for intubated patients (1.24 (0.33[~]4.67); p = 0.752). ConclusionsConvalescent plasma transfusion is a potentially efficacious treatment option for patients hospitalized with COVID-19; however, these data suggest that non-intubated patients may benefit more than those requiring mechanical ventilation.	Liu, S. T. H.; Lin, H.-M.; Baine, I.; Wajnberg, A.; Gumprecht, J. P.; Rahman, F.; Rodriguez, D.; Tandon, P.; Bassily-Marcus, A.; Bander, J.; Sanky, C.; Dupper, A.; Zheng, A.; Altman, D. R.; Chen, B. K.; Krammer, F.; Mendu, D. R.; Firpo-Betancourt, A.; Levin, M. A.; Bagiella, E.; Casadevall, A.; Cordon-Cardo, C.; Jhang, J. S.; Arinsburg, S. A.; Reich, D. L.; Aberg, J. A.; Bouvier, N. M.	2020-05-22	10.1101/2020.05.20.20102236
Epidemiological and clinical characteristics of discharged patients infected with SARS-CoV-2 on the Qinghai plateau	Since the outbreak of coronavirus disease 2019 (COVID-19), caused by the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) was first reported in Wuhan, a series of confirmed cases of COVID-19 were found on the Qinghai-Tibet plateau. We aimed to describe the epidemiological, clinical characteristics, and outcomes of all confirmed cases in Qinghai, a province at high altitude. With efficient measures to stop the spread of coronavirus, no new cases were found in Qinghai Province for 60 consecutive days between Feb 6 and April 6, 2020. Of all 18 patients with confirmed SARS-CoV-2 infection, 15 patients comprising 4 transmission clusters were identified. Three patients were infected by direct contact without travel history to Wuhan. Seven patients were asymptomatic on admission. Of 18 patients, 10 patients showed bilateral pneumonia and 2 patients showed no abnormalities. Three patients with comorbidities such as hypertension, liver diseases or diabetes developed severe illness. High C-reactive protein levels and elevations of both ALT and AST were observed in 3 severely ill patients on admission. All 18 patients were eventually discharged, including the 3 severe patients who recovered after treatment with non-invasive mechanical ventilation, convalescent plasma and other therapies. Our findings confirmed human-to-human transmission of SARS-CoV-2 in clusters. The strategies of early diagnosis, early isolation, and early treatment are important to prevent the spread of COVID-19 and improve the cure rate. Patients with comorbidities are more likely to develop severe illness and could benefit from convalescent plasma transfusion.	Xi, A.; Ma, Z.; Dai, J.; Ding, Y.; Ma, X.; Ma, X.; Wang, X.; Shi, L.; Bai, H.; Zheng, H.; Nuermberger, E.; Xu, J.	2020-04-29	10.1101/2020.04.23.20077644
